"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-01","4.46",",,,K","48.3",",K","61.2",",,,K","35.5",",,,K"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-02","1.45",",,,7","52.0",",7","63.8",",,,7","40.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-03","6.50",",,,7","52.5",",7","62.1",",,,7","43.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-04","2.10",",,,7","60.3",",7","72.0",",,,7","48.7",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-05","0.12",",,,7","68.1","1,7","83.4",",,,7","52.8","1,,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-06","0.03",",,,7","72.9",",7","88.6",",,,7","57.1",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-07","0.00",",,,7","75.5",",7","94.5",",,,7","56.4",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-08","0.00",",,,7","77.8",",7","98.6",",,,7","57.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-09","0.00",",,,7","72.7",",7","93.0",",,,7","52.3",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-10","0.87",",,,7","65.3",",7","80.0",",,,7","50.6",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-11","5.78",",,,7","55.0",",7","67.0",",,,7","43.1",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2012-12","8.67",",,,7","47.3",",7","56.4",",,,7","38.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-01","0.70",",,,7","44.9",",7","57.2",",,,7","32.7",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-02","0.16",",,,7","50.0",",7","63.8",",,,7","36.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-03","0.60",",,,7","57.5",",7","71.2",",,,7","43.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-04","0.75",",,,7","64.6",",7","78.3",",,,7","50.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-05","0.70",",,,7","69.0",",7","83.0",",,,7","54.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-06","0.09",",,,7","74.9",",7","89.7",",,,7","60.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-07","0.00",",,,7","79.2",",7","99.5",",,,7","58.8",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-08","0.00",",,,7","75.5",",7","93.9",",,,7","57.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-09","0.65","1,,,7","72.5","1,7","88.2","1,,,7","56.8","1,,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-10","0.00",",,,7","63.2",",7","79.7",",,,7","46.7",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-11","0.70",",,,7","56.9",",7","69.7",",,,7","44.1",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2013-12","0.47",",,,7","47.1",",7","61.4",",,,7","32.8",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-01","0.08","1,,,7","53.1","1,7","68.2","1,,,7","37.9","1,,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-02","6.69",",,,7","53.3",",7","63.3",",,,7","43.3",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-03","1.98",",,,7","59.0",",7","70.5",",,,7","47.5",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-04","2.96",",,,7","62.3",",7","75.7",",,,7","48.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-05","0.00",",,,7","70.6",",7","86.1",",,,7","55.3",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-06","0.00",",,,7","74.6",",7","92.5",",,,7","56.6",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-07","0.00",",,,7","79.3",",7","97.8",",,,7","60.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-08","0.00",",,,7","76.2",",7","94.4",",,,7","58.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-09","0.34",",,,7","73.5",",7","91.4",",,,7","55.6",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-10","0.18",",,,7","67.4",",7","83.2",",,,7","51.5",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-11","1.63",",,,7","55.2",",7","67.5",",,,7","42.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2014-12","10.12",",,,7","52.6",",7","59.1",",,,7","46.1",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-01","0.00",",,,7","49.9",",7","61.8",",,,7","38.1",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-02","4.36",",,,7","56.5",",7","68.5",",,,7","44.5",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-03","0.12",",,,7","61.1",",7","75.1",",,,7","47.1",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-04","0.96",",,,7","62.9",",7","76.8",",,,7","49.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-05","0.05","1,,,7","66.0","1,7","81.4","1,,,7","50.6","1,,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-06","0.01",",,,7","76.7",",7","95.0",",,,7","58.4",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-07","0.00",",,,7","78.6",",7","95.6",",,,7","61.5",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-08","0.02","1,,,7","78.2","1,7","95.9","1,,,7","60.4","1,,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-09","0.01",",,,7","75.3",",7","92.2",",,,7","58.4",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-10","0.27",",,,7","69.3",",7","84.6",",,,7","53.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-11","1.10",",,,7","52.4",",7","64.5",",,,7","40.4",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2015-12","2.59",",,,7","47.1",",7","56.4",",,,7","37.8",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-01","7.21",",,,7","49.6",",7","56.6",",,,7","42.6",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-02","0.71",",,,7","55.7",",7","68.2",",,,7","43.1",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-03","7.64",",,,7","57.6",",7","68.3",",,,7","46.8",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-04","0.56",",,,7","62.4",",7","76.9",",,,7","47.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-05","0.44",",,,7","68.1",",7","82.9",",,,7","53.3",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-06","0.00",",,,7","76.9",",7","94.5",",,,7","59.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-07","0.00","2,,,7","78.3","2,7","98.4","2,,,7","58.2","2,,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-08","0.00",",,,7","75.6",",7","97.2",",,,7","54.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-09","0.00",",,,7","72.9","1,7","91.6","1,,,7","54.1","1,,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-10","2.33",",,,7","62.3","2,7","75.3","2,,,7","49.5","2,,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-11","1.48",",,,7","56.8",",7","66.7",",,,7","46.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2016-12","4.35",",,,7","46.5",",7","56.3",",,,7","36.8",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-01","18.48",",,,7","47.2",",7","55.6",",,,7","38.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-02","12.56",",,,7","52.7",",7","60.4",",,,7","45.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-03","3.61",",,,7","58.3",",7","69.2",",,,7","47.3",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-04","2.72",",,,7","60.3",",7","71.4",",,,7","49.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-05","0.06",",,,7","68.8",",7","84.4",",,,7","53.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-06","0.30",",,,7","76.7",",7","93.2",",,,7","60.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-07","0.00",",,,7","80.7",",7","101.1",",,,7","60.3",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-08","0.00",",T,,7","79.7",",7","99.2",",,,7","60.3",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-09","0.00",",,,7","74.7",",7","90.6",",,,7","58.8",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-10","0.12",",,,7","65.8",",7","81.5",",,,7","50.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-11","2.00",",,,7","55.5",",7","65.2",",,,7","45.8",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2017-12","0.00",",T,,7","50.0",",7","62.4",",,,7","37.6",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-01","4.33",",,,7","50.4",",7","58.6",",,,7","42.1",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-02","0.20",",,,7","53.5",",7","66.6",",,,7","40.4",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-03","5.03",",,,7","53.0",",7","64.8",",,,7","41.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-04","2.05",",,,7","61.1",",7","74.6",",,,7","47.6",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-05","0.01",",,,7","68.0",",7","82.8",",,,7","53.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-06","0.00",",,,7","75.4",",7","92.7",",,,7","58.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-07","0.01",",,,7","81.6",",7","100.7",",,,7","62.6",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-08","0.00",",,,7","75.7",",7","94.9",",,,7","56.5",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-09","0.00",",,,7","72.4","1,7","91.7","1,,,7","53.1","1,,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-10","0.07",",,,7","66.7",",7","81.8",",,,7","51.7",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-11","4.31",",,,7","56.6",",7","69.6",",,,7","43.7",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2018-12","2.25",",,,7","49.5",",7","58.4",",,,7","40.6",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-01","10.06",",,,7","50.7",",7","59.4",",,,7","42.0",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-02","16.07",",,,7","47.7",",7","55.7",",,,7","39.7",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-03","5.10",",,,7","54.6",",7","63.9",",,,7","45.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-04","0.15",",,,7","64.4",",7","77.1",",,,7","51.7",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-05","2.70",",,,7","63.8",",7","77.1",",,,7","50.5",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-06","0.00",",,,7","77.0",",7","93.3",",,,7","60.6",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-07","0.00",",,,7","77.8",",7","96.3",",,,7","59.2",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-08","0.00",",,,7","79.2",",7","97.5",",,,7","60.9",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-09","0.00",",,,7","74.1",",7","89.8",",,,7","58.5",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-10","0.00",",,,7","63.6",",7","79.4",",,,7","47.8",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-11","0.60",",,,7","57.4",",7","71.4",",,,7","43.4",",,,7"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2019-12","9.87",",,,7","49.9",",7","57.0",",,,7","42.9",",,,7"
